kind,exam_id,examination,conducting_body,file,requirement_id,what_we_hold_now,what_is_missing,what_would_settle_it,source_we_hold,YOUR_published_value,YOUR_exact_passage_from_the_notice,YOUR_source_url,YOUR_page_or_section,YOUR_date_checked,YOUR_notes
not_yet_supported,all-india-sainik-schools-entrance-examination,All India Sainik Schools Entrance Examination,National Testing Agency,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://exams.nta.ac.in/AISSEE/,,,,,,
estimated_value,all-india-sainik-schools-entrance-examination,All India Sainik Schools Entrance Examination,National Testing Agency,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://exams.nta.ac.in/AISSEE/,,,,,,
estimated_value,all-india-sainik-schools-entrance-examination,All India Sainik Schools Entrance Examination,National Testing Agency,Thumb impression (where the active form requests it),thumb_impression_where_the_active_form_requests_,"min 20 KB, max 50 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://exams.nta.ac.in/AISSEE/,,,,,,
estimated_value,all-india-sainik-schools-entrance-examination,All India Sainik Schools Entrance Examination,National Testing Agency,Category/PwD/supporting certificate(s) (conditional),category_pwd_supporting_certificate_s_conditiona,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://exams.nta.ac.in/AISSEE/,,,,,,
no_researched_fact,all-india-sainik-schools-entrance-examination,All India Sainik Schools Entrance Examination,National Testing Agency,Worth knowing,,Nothing shown,"3-6 facts about the examination itself (candidates, process, structure, history), each with its passage and publisher",See docs/research-requests facts prompt,https://exams.nta.ac.in/AISSEE/,,,,,,
photograph_no_pixel_size,andhra-pradesh-teacher-eligibility-test,Andhra Pradesh Teacher Eligibility Test,Department of School Education Andhra Pradesh,Photograph,candidate_photograph,"max 50 KB, jpeg","Pixel width x height (and whether mandatory or preferred), any cm size, any dpi",The photograph section of the current information bulletin or notice,https://aptet.apcfss.in/Documents/Information_Bulletin_2024_New.pdf,,,,,,
not_yet_supported,ap-mega-dsc-teacher-recruitment,AP Mega DSC Teacher Recruitment,Government of Andhra Pradesh,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://apdsc.apcfss.in/,,,,,,
estimated_value,ap-mega-dsc-teacher-recruitment,AP Mega DSC Teacher Recruitment,Government of Andhra Pradesh,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://apdsc.apcfss.in/,,,,,,
not_yet_supported,ap-mega-dsc-teacher-recruitment,AP Mega DSC Teacher Recruitment,Government of Andhra Pradesh,Educational/TET/category/PwD supporting documents (conditional),educational_tet_category_pwd_supporting_document,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://apdsc.apcfss.in/,,,,,,
not_yet_supported,ap-polycet,AP POLYCET,State Board of Technical Education and Training Andhra Pradesh,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://polycetap.nic.in/,,,,,,
estimated_value,ap-polycet,AP POLYCET,State Board of Technical Education and Training Andhra Pradesh,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://polycetap.nic.in/,,,,,,
not_yet_supported,appsc-forest-beat-officer-assistant-beat-officer-2025,APPSC Forest Beat Officer / Assistant Beat Officer 2025,Andhra Pradesh Public Service Commission,Candidate photograph,candidate_photograph,Uploaded candidate photograph.,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://psc.ap.gov.in/Documents/NotificationDocuments/FBO_ABO_Notification_14072025.pdf,,,,,,
estimated_value,appsc-forest-beat-officer-assistant-beat-officer-2025,APPSC Forest Beat Officer / Assistant Beat Officer 2025,Andhra Pradesh Public Service Commission,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://psc.ap.gov.in/Documents/NotificationDocuments/FBO_ABO_Notification_14072025.pdf,,,,,,
estimated_value,appsc-forest-beat-officer-assistant-beat-officer-2025,APPSC Forest Beat Officer / Assistant Beat Officer 2025,Andhra Pradesh Public Service Commission,Claim-supporting certificates,claim_supporting_certificates,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://psc.ap.gov.in/Documents/NotificationDocuments/FBO_ABO_Notification_14072025.pdf,,,,,,
not_yet_supported,appsc-group-i-services-examination,APPSC Group I Services Examination,Andhra Pradesh Public Service Commission,OTPR/profile photograph,otpr_profile_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://psc.ap.gov.in/,,,,,,
estimated_value,appsc-group-i-services-examination,APPSC Group I Services Examination,Andhra Pradesh Public Service Commission,OTPR/profile signature,otpr_profile_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://psc.ap.gov.in/,,,,,,
not_yet_supported,appsc-group-ii-services-examination,APPSC Group II Services Examination,Andhra Pradesh Public Service Commission,OTPR/profile photograph,otpr_profile_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://psc.ap.gov.in/,,,,,,
estimated_value,appsc-group-ii-services-examination,APPSC Group II Services Examination,Andhra Pradesh Public Service Commission,OTPR/profile signature,otpr_profile_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://psc.ap.gov.in/,,,,,,
not_yet_supported,assam-direct-recruitment-grade-iii,Assam Direct Recruitment Grade III,State Level Recruitment Commission Assam,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://slrcg3.sebaonline.org/,,,,,,
estimated_value,assam-direct-recruitment-grade-iii,Assam Direct Recruitment Grade III,State Level Recruitment Commission Assam,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://slrcg3.sebaonline.org/,,,,,,
not_yet_supported,assam-direct-recruitment-grade-iv,Assam Direct Recruitment Grade IV,State Level Recruitment Commission Assam,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://slrcg4.sebaonline.org/,,,,,,
estimated_value,assam-direct-recruitment-grade-iv,Assam Direct Recruitment Grade IV,State Level Recruitment Commission Assam,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://slrcg4.sebaonline.org/,,,,,,
not_yet_supported,bihar-b-ed-common-entrance-test,Bihar B.Ed Common Entrance Test,Lalit Narayan Mithila University / Bihar CET-B.Ed,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://biharcetbed-lnmu.in/,,,,,,
estimated_value,bihar-b-ed-common-entrance-test,Bihar B.Ed Common Entrance Test,Lalit Narayan Mithila University / Bihar CET-B.Ed,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://biharcetbed-lnmu.in/,,,,,,
not_yet_supported,bihar-d-el-ed-joint-entrance-examination,Bihar D.El.Ed Joint Entrance Examination,Bihar School Examination Board,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://bceceboard.bihar.gov.in/pdf_Adv/ADV_DLE25_01.pdf,,,,,,
estimated_value,bihar-d-el-ed-joint-entrance-examination,Bihar D.El.Ed Joint Entrance Examination,Bihar School Examination Board,Hindi signature,hindi_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://bceceboard.bihar.gov.in/pdf_Adv/ADV_DLE25_01.pdf,,,,,,
estimated_value,bihar-d-el-ed-joint-entrance-examination,Bihar D.El.Ed Joint Entrance Examination,Bihar School Examination Board,English signature,english_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://bceceboard.bihar.gov.in/pdf_Adv/ADV_DLE25_01.pdf,,,,,,
not_yet_supported,bihar-police-constable-recruitment,Bihar Police Constable Recruitment,"Central Selection Board of Constable, Bihar",Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://csbc.bihar.gov.in/,,,,,,
