keyword,cluster,intent,language,priority,target_url,coverage,exam_ids,basis
exam upload kit,brand,navigational,en,1,/,prepares,,the site itself
exam upload kit photo resize,brand,navigational,en,1,/,prepares,,the site itself
examuploadkit,brand,navigational,en,1,/,prepares,,the site itself
examuploadkit.com,brand,navigational,en,1,/,prepares,,the site itself
compress image to 100kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
compress image to 200kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
compress image to 20kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
compress image to 50kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
compress jpg to 100kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
compress jpg to 200kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
compress jpg to 20kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
compress jpg to 50kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
compress photo to 20kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
compress signature to 200kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce image size to 100kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce image size to 200kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce image size to 20kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce image size to 50kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce jpg size to 100kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce jpg size to 200kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce jpg size to 20kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce jpg size to 50kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce photo size to 100kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce photo size to 200kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce photo size to 20kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce photo size to 50kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce signature size to 100kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce signature size to 200kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce signature size to 20kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
reduce signature size to 50kb,compress-image-to-size,tool,en,1,/compress-image,prepares,,"the compress-to-size tool, in the browser"
compress pdf to 100kb,compress-pdf-to-size,tool,en,1,/compress-pdf,prepares,,"the compress-a-PDF tool, in the browser (DEC-098)"
compress pdf to 200kb,compress-pdf-to-size,tool,en,1,/compress-pdf,prepares,,"the compress-a-PDF tool, in the browser (DEC-098)"
compress pdf to 500kb,compress-pdf-to-size,tool,en,1,/compress-pdf,prepares,,"the compress-a-PDF tool, in the browser (DEC-098)"
reduce pdf size to 100kb,compress-pdf-to-size,tool,en,1,/compress-pdf,prepares,,"the compress-a-PDF tool, in the browser (DEC-098)"
reduce pdf size to 200kb,compress-pdf-to-size,tool,en,1,/compress-pdf,prepares,,"the compress-a-PDF tool, in the browser (DEC-098)"
reduce pdf size to 500kb,compress-pdf-to-size,tool,en,1,/compress-pdf,prepares,,"the compress-a-PDF tool, in the browser (DEC-098)"
